Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
State Farm Fire & Casualty Company,704445,10/02/2017,10/20/2017,Auto Liability,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
LM Insurance Corporation,704507,10/04/2017,10/20/2017,,,Underwriting,Cancellation,Cancellation Withdrawn,Justified,0.00,Closed
GEICO General Insurance Company,704285,09/21/2017,10/20/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,704704,10/16/2017,10/20/2017,A & H,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Record Only,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,704186,09/15/2017,10/20/2017,Auto Liability,,Unfair Claims Practice,Storage Fees,Claim Settled,Unjustified,1656.36,Closed
Allstate Fire and Casualty Insurance Company,704156,09/14/2017,10/20/2017,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
"Anthem Health Plans, Inc",704457,10/03/2017,10/20/2017,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",703629,08/09/2017,10/20/2017,Exchange-Individual Hlth,Cancer Related,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,1206.07,Closed
Metropolitan Group Property and Casualty Insurance Company,704317,09/22/2017,10/20/2017,,,Premium and Rating,Premium/Notice,Corrective Action,Questionable,0.00,Closed
Truck Insurance Exchange,704138,09/13/2017,10/20/2017,Commercial Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,704375,09/27/2017,10/20/2017,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Hartford Insurance Company of the Midwest,704445,10/02/2017,10/20/2017,Auto Liability,,Unfair Claims Practice,Subrogation,Claim Settled,Unjustified,1123.67,Closed
Standard Fire Insurance Company (The),704114,09/13/2017,10/20/2017,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
ACE American Insurance Company,704530,10/05/2017,10/20/2017,Dental,Dental,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Justified,378.00,Closed
Gerber Life Insurance Company,704402,09/28/2017,10/20/2017,Individual Life,Other,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,704448,10/02/2017,10/20/2017,,,Unfair Claims Practice,Claim Procedure,Additional Money Received,Unjustified,606.43,Closed
"ConnectiCare Benefits, Inc.",702538,05/31/2017,06/15/2017,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Satisfied,Furnished Information,209.76,Closed
"Anthem Health Plans, Inc",704534,10/06/2017,10/23/2017,Group Health,Infertility,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
NGM Insurance Company,704442,10/02/2017,10/24/2017,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,704365,09/26/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Mid-Century Insurance Company,702526,05/31/2017,10/24/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,704499,10/04/2017,10/24/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704727,10/17/2017,10/24/2017,Individual Health,No SubCov - AH,Marketing/Sales,Discontinuation & Replmnt,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
Utica First Insurance Company,703791,08/18/2017,10/24/2017,Commercial Multi-Peril,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",704572,10/10/2017,10/24/2017,Individual Health,Prescription,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
GEICO General Insurance Company,704501,10/04/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Unjustified,279.99,Closed
CSAA Affinity Insurance Company,704620,10/12/2017,10/24/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,704555,10/06/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Liberty Mutual Fire Insurance Company,704382,09/27/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Diminished Value,Contract Provision,Unjustified,0.00,Closed
LM General Insurance Company,704360,09/26/2017,10/24/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
Allstate Fire and Casualty Insurance Company,704512,10/05/2017,10/24/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Liberty Mutual Fire Insurance Company,704382,09/27/2017,10/24/2017,,,Unfair Claims Practice,Diminished Value,Contract Provision,Unjustified,0.00,Closed
GEICO Indemnity Company,704253,09/20/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,1110.45,Closed
"Anthem Health Plans, Inc",704355,09/26/2017,10/24/2017,Individual Health,Prescription,Utilization Review,Time Delay,Claim Settled,Furnished Information,43.12,Closed
Nationwide Mutual Fire Insurance Company,704363,09/26/2017,10/24/2017,Homeowners,,Underwriting,Non-Renewal,Corrective Action,Justified,0.00,Closed
Metropolitan Property and Casualty Insurance Company,704389,09/27/2017,10/24/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,701834,04/18/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Justified,0.00,Closed
Arch Insurance Company,704309,09/22/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Claim Settled,Unjustified,0.00,Closed
Progressive Direct Insurance Company,704365,09/26/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Questionable,0.00,Closed
Allstate Insurance Company,704214,09/19/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Metropolitan Casualty Insurance Company,704472,10/04/2017,10/24/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",704622,10/12/2017,10/24/2017,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Justified,30.00,Closed
GEICO General Insurance Company,704554,10/06/2017,10/24/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,12707.23,Closed
"Anthem Health Plans, Inc",704642,10/12/2017,10/25/2017,A & H,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,704471,10/04/2017,10/25/2017,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,704471,10/04/2017,10/25/2017,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704703,10/16/2017,10/25/2017,A & H,Out-Patient,Unfair Claims Practice,CPT Code Issue,Policy Issued,Furnished Information,0.00,Closed
Brighthouse Life Insurance Company,704526,10/05/2017,10/25/2017,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Delaware Life Insurance Company,704440,10/02/2017,10/25/2017,Individual Annuity,Fixed Annuity,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",703459,07/31/2017,09/19/2017,Group Health,Maternity,Utilization Review,Contract Provision,Contract Provision,Furnished Information,0.00,Closed
Aetna Life Insurance Company,703764,08/17/2017,10/25/2017,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,405.11,Closed
National Liability & Fire Insurance Company,704595,10/11/2017,10/25/2017,Worker's Compensation,,Premium and Rating,Classification,Corrective Action,Justified,1094.00,Closed
Transamerica Life Insurance Company,704519,10/05/2017,10/25/2017,Individual Long Term Care,Skill Nurs/Home Hth Care,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
GEICO Indemnity Company,703444,07/28/2017,10/25/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Delaware Life Insurance Company,704440,10/02/2017,10/25/2017,,,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704543,10/06/2017,10/25/2017,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
GEICO Indemnity Company,703444,07/28/2017,10/25/2017,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704703,10/16/2017,10/25/2017,,,Unfair Claims Practice,CPT Code Issue,Policy Issued,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",704542,10/06/2017,10/25/2017,A & H,Out-Patient,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Utica First Insurance Company,704228,09/19/2017,10/25/2017,Dwelling Fire,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,704286,09/21/2017,10/25/2017,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Corrective Action,Justified,8446.08,Closed
"ConnectiCare Insurance Company, Inc",704543,10/06/2017,10/25/2017,A & H,Out-Patient,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,704558,10/06/2017,10/25/2017,Motorcycle,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704542,10/06/2017,10/25/2017,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Trumbull Insurance Company,704568,10/10/2017,10/26/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),704556,10/06/2017,10/26/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,704680,10/13/2017,10/26/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704544,10/06/2017,10/26/2017,Group Health,No SubCov - AH,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",704544,10/06/2017,10/26/2017,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
ConnectiCare Inc,704545,10/06/2017,10/26/2017,Group Health,No SubCov - AH,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,704428,10/02/2017,10/26/2017,Group Health,Other,Unfair Claims Practice,Subrogation,Furnished Information,Furnished Information,0.00,Closed
Travelers Indemnity Company (The),501577,04/06/2015,04/29/2015,Commercial Multi-Peril,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,704545,10/06/2017,10/26/2017,,,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",704883,10/25/2017,10/26/2017,A & H,Network Interruption,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
GEICO Indemnity Company,704680,10/13/2017,10/26/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",704505,10/04/2017,10/26/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
MedAmerica Insurance Company,704586,10/10/2017,10/26/2017,Individual Long Term Care,Partnership,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",703349,07/24/2017,10/26/2017,Exchange-Individual Hlth,Lab Services,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
American Commerce Insurance Company,704111,09/13/2017,09/27/2017,Homeowners,,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",701515,03/28/2017,04/10/2017,Individual Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Unsatisfactory Settlement,Corrective Action,Furnished Information,2537.00,Closed
"Anthem Health Plans, Inc",704689,10/16/2017,10/27/2017,A & H,Out-Patient,Unfair Claims Practice,CPT Code Issue,Insufficient Information,No Action Necessary,0.00,Closed
"ConnectiCare Insurance Company, Inc",704546,10/06/2017,10/27/2017,Group Health,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",704546,10/06/2017,10/27/2017,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",704896,10/26/2017,10/27/2017,Group Health,Network Interruption,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
GEICO General Insurance Company,704693,10/16/2017,10/27/2017,Auto Liability,,Unfair Claims Practice,Diminished Value,Company Position Upheld,Unjustified,0.00,Closed
Allstate Property and Casualty Insurance Company,704571,10/10/2017,10/27/2017,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
General Insurance Company of America,704764,10/18/2017,10/27/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,704732,10/17/2017,10/30/2017,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Claim Delays,Insufficient Information,No Action Necessary,0.00,Closed
GEICO General Insurance Company,704594,10/10/2017,10/30/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,903.96,Closed
Allstate Property and Casualty Insurance Company,704749,10/18/2017,10/30/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,704732,10/17/2017,10/30/2017,,,Unfair Claims Practice,Claim Delays,Insufficient Information,No Action Necessary,0.00,Closed
Golden Rule Insurance Company,704707,10/17/2017,10/30/2017,Individual Health,Colonoscopy,Unfair Claims Practice,Mandated Benefit,Contract Provision,Furnished Information,0.00,Closed
RiverSource Life Insurance Company,704685,10/16/2017,10/30/2017,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
GEICO General Insurance Company,704700,10/16/2017,10/30/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
AIG Property Casualty Company,704444,10/02/2017,10/30/2017,Personal Umbrella,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,173.00,Closed
UnitedHealthcare Insurance Company,704684,10/16/2017,10/30/2017,Group Health,Colonoscopy,Unfair Claims Practice,CPT Code Issue,Contract Provision,Furnished Information,0.00,Closed
Riverport Insurance Company,704243,09/19/2017,10/30/2017,Worker's Compensation,,Premium and Rating,Audit,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,704752,10/18/2017,10/31/2017,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",704929,10/30/2017,10/31/2017,Individual Health,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
ConnectiCare Inc,704670,10/13/2017,10/31/2017,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",704641,10/12/2017,10/31/2017,A & H,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,703929,08/29/2017,09/19/2017,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Questionable,0.00,Closed
Progressive Direct Insurance Company,703929,08/29/2017,09/19/2017,,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Questionable,0.00,Closed
ConnectiCare Inc,704670,10/13/2017,10/31/2017,,,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,704725,10/17/2017,10/31/2017,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,173.60,Closed
Allstate Insurance Company,704597,10/11/2017,10/31/2017,Condo Unit Owner,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",704961,10/31/2017,10/31/2017,Group Health,Network Interruption,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
American Commerce Insurance Company,704772,10/19/2017,10/31/2017,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",704643,10/12/2017,10/31/2017,A & H,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
CSAA General Insurance Company,704672,10/13/2017,10/31/2017,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
American Commerce Insurance Company,704772,10/19/2017,10/31/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
American Commerce Insurance Company,704891,10/26/2017,10/31/2017,Auto,,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,704710,10/17/2017,11/01/2017,Travel Insurance,Dental,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Zurich American Insurance Company,704694,10/16/2017,11/01/2017,Worker's Compensation,,Premium and Rating,Classification,Company Position Upheld,Unjustified,0.00,Closed
Merrimack Mutual Fire Insurance Company,704784,10/19/2017,11/01/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
John Hancock Life Insurance Company (USA),704668,10/13/2017,11/01/2017,Individual Life,Whole Life,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",704762,10/18/2017,11/01/2017,Individual Health,Radiology,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Plymouth Rock Assurance Corporation,704664,10/13/2017,11/01/2017,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,1318.46,Closed
GEICO Indemnity Company,704659,10/13/2017,11/01/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Genworth Life Insurance Company,704969,11/01/2017,11/01/2017,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,704743,10/17/2017,11/01/2017,Auto Liability,,Unfair Claims Practice,After Mrkt Prts/Unsat Set,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,704710,10/17/2017,11/01/2017,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Liberty Mutual Fire Insurance Company,101805,04/11/2011,11/01/2017,Homeowners,,Unfair Claims Practice,Claim Procedure,Satisfactory Explanation,Unjustified,0.00,Closed
American Bankers Insurance Company of Florida,704779,10/19/2017,11/01/2017,Tenant Homeowners,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,374.79,Closed
"Anthem Health Plans, Inc",703999,09/05/2017,09/25/2017,Group Health,Other,Utilization Review,Medical Necessity,Claim Settled,Voluntary Reconsider,520.00,Closed
"ConnectiCare Benefits, Inc.",704737,10/17/2017,11/01/2017,Individual Health,Radiology,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Wilcac Life Insurance Company,704882,10/25/2017,11/02/2017,Individual Health,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Company Position Upheld,Furnished Information,0.00,Closed
ConnectiCare Inc,704851,10/24/2017,11/02/2017,,,Underwriting,Cancellation,Furnished Information,Voluntary Reconsider,0.00,Closed
GEICO Indemnity Company,702156,05/08/2017,11/02/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Inter-Company Arbitration,Unjustified,0.00,Closed
SAFECO Insurance Company of America,704745,10/17/2017,11/02/2017,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
ConnectiCare Inc,704851,10/24/2017,11/02/2017,Individual Health,No SubCov - AH,Underwriting,Cancellation,Furnished Information,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",704527,10/05/2017,11/02/2017,Group Health,Colonoscopy,Unfair Claims Practice,Unsatisfactory Settlement,Corrective Action,Justified,0.00,Closed
Liberty Mutual Fire Insurance Company,704473,10/04/2017,11/02/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of America,704745,10/17/2017,11/02/2017,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Allstate Insurance Company,704473,10/04/2017,11/02/2017,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,704748,10/18/2017,11/02/2017,A & H,No SubCov - AH,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",704932,10/30/2017,11/02/2017,A & H,No SubCov - AH,Employer Handling,Cancellation,Corrective Action,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",703968,08/31/2017,11/02/2017,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Pol Restored/Reinstated,Furnished Information,0.00,Closed
Aetna Health Inc,704126,09/13/2017,11/03/2017,Medicare Advantage,No SubCov - AH,Marketing/Sales,Producer Handling,Furnished Information,Furnished Information,0.00,Closed
Primerica Life Insurance Company,704441,10/02/2017,11/03/2017,Individual Life,Term Life,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",704820,10/20/2017,11/03/2017,,,Underwriting,Cancellation,Corrective Action,Justified,0.00,Closed
Chicago Title Insurance Company,704701,10/16/2017,11/03/2017,Title Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Fidelity National Title Insurance Company,704701,10/16/2017,11/03/2017,Title Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
General Insurance Company of America,704560,10/06/2017,11/03/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Claim Settled,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",703966,08/31/2017,11/03/2017,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
Truck Insurance Exchange,704722,10/17/2017,11/03/2017,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",704820,10/20/2017,11/03/2017,Auto,,Underwriting,Cancellation,Corrective Action,Justified,0.00,Closed
Commonwealth Land Title Insurance Company,704701,10/16/2017,11/03/2017,Title Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Bunker Hill Insurance Company,704916,10/30/2017,11/03/2017,,,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
USAA General Indemnity Company,703303,07/20/2017,10/17/2017,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
USAA General Indemnity Company,703303,07/20/2017,10/17/2017,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Hartford Insurance Company of the Midwest,704757,10/18/2017,11/03/2017,,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Truck Insurance Exchange,704722,10/17/2017,11/03/2017,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Bunker Hill Insurance Company,704916,10/30/2017,11/03/2017,Homeowners,,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",703966,08/31/2017,11/03/2017,,,Premium and Rating,Premium/Notice,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",701446,03/23/2017,04/06/2017,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",501755,04/15/2015,04/29/2015,Exchange-Individual Hlth,In-Patient,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,704676,10/13/2017,10/27/2017,,,Utilization Review,Medical Necessity,Claim Paid With Interest,Justified,270.68,Closed
Genworth Life Insurance Company,900890,02/22/2019,02/25/2019,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Trumbull Insurance Company,704625,10/12/2017,11/06/2017,Homeowners,,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,0.00,Closed
"Anthem Health Plans, Inc",602552,06/03/2016,06/23/2016,Group Health,Skill Nurs/Home Hth Care,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",601355,03/22/2016,03/30/2016,,,Utilization Review,Medical Necessity,Coverage Granted,Justified,838039.00,Closed
"Anthem Health Plans, Inc",602552,06/03/2016,06/23/2016,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,700324,01/20/2017,02/15/2017,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,701726,04/11/2017,06/13/2017,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",704394,09/27/2017,11/03/2017,Individual Health,Prescription,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
Allstate Life Insurance Company,900628,02/07/2019,02/25/2019,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",404937,10/02/2014,02/02/2015,Group Health,Radiology,Utilization Review,Medical Necessity,Claim Settled,Justified,0.00,Closed
"HealthyCT, Inc.",700148,01/10/2017,02/01/2017,Exchange-Individual Hlth,Out-Patient,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
